TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
c5.go,GOBP_INTERLEUKIN_8_PRODUCTION,prerank,0.6680790728006831,2.3617440003285655,0.0,0.0,0.0,48_77,48/77,24.06%,HSPA1A;HSPA1B;RELA;TLR5;PRKD2;BCL3;LGALS9;DDIT3;TLR2;TLR8;LILRA2;LBP;HYAL2;NOD2;SYK;CD74;TLR9;CD33;BPI;FFAR2;IL6R;FADD;IL6;CACTIN;SSC5D;CD2;CD14;CRP;RIPK1;CALCA;KLF4;TLR7;PARK7;PYCARD;NOD1;STAT3;AFAP1L2;TNF;TLR4;C5AR2;PLA2G1B;TLR6;ZNF580;PTPRC;SERPINE1;MYD88;IL17D;CD58,HSPA1A;HSPA1B;RELA;TLR5;PRKD2;BCL3;LGALS9;DDIT3;TLR2;TLR8;LILRA2;LBP;HYAL2;NOD2;SYK;CD74;TLR9;CD33;BPI;FFAR2;IL6R;FADD;IL6;CACTIN;SSC5D;CD2;CD14;CRP;RIPK1;CALCA;KLF4;TLR7;PARK7;PYCARD;NOD1;STAT3;AFAP1L2;TNF;TLR4;C5AR2;PLA2G1B;TLR6;ZNF580;PTPRC;SERPINE1;MYD88;IL17D;CD58;IL1B;FCN1;DEFA5;CLEC7A;ANXA1;BCL10;CHI3L1;MAPKBP1;IL10;APOA2;LAMTOR5;CD244;F2R;MAP2K5;TLR1;WNT5A;ANXA4;F2RL1;TLR3;ELANE;RAB1A;F3;MAVS;PTPN22;NOS2;OTUD7B;ARRB1;HMGB1;TIRAP,"[2, 7, 68, 95, 224, 347, 718, 729, 745, 783, 958, 1099, 1152, 1266, 1267, 1313, 1414, 1612, 1898, 1966, 2017, 2019, 2121, 2205, 2206, 2509, 2611, 2639, 2701, 2750, 2806, 2886, 3030, 3056, 3101, 3143, 3475, 3515, 3516, 3651, 3744, 3775, 3934, 3989, 4011, 4132, 4138, 4213, 4629, 5015, 5080, 5747, 6173, 6271, 6323, 6455, 6941, 7104, 7709, 7718, 7751, 7975, 8679, 8910, 9157, 9196, 9420, 9713, 10946, 11051, 11317, 11540, 11576, 12630, 14181, 14226, 15108]",c5.go__GOBP_INTERLEUKIN_8_PRODUCTION
c5.go,GOBP_PROTEIN_REFOLDING,prerank,0.7695820432147276,2.2758205362785757,0.0,0.0,0.0,15_28,15/28,12.06%,HSPA6;HSPA1A;HSPB1;HSPA1B;HSPA1L;HSPB2;HSPD1;HSP90AA1;DNAJA1;SDF2L1;HSPA5;CRYAA;SDF2;DNAJA4;CRYAB,HSPA6;HSPA1A;HSPB1;HSPA1B;HSPA1L;HSPB2;HSPD1;HSP90AA1;DNAJA1;SDF2L1;HSPA5;CRYAA;SDF2;DNAJA4;CRYAB;DNAJB2;SNRNP70;FKBP1B;HSPA2;HSPB6;FKBP1A;HSPA8;B2M;DNAJA2;HSPA9;HSPA13;BAG5;HSPA14,"[0, 2, 3, 7, 188, 298, 682, 876, 1024, 1284, 1765, 1964, 1988, 2067, 2111, 2641, 3756, 5466, 6834, 7036, 7100, 7879, 8604, 10597, 12206, 13994, 14353, 17247]",c5.go__GOBP_PROTEIN_REFOLDING
c5.go,GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION,prerank,0.6814034353651531,2.284201585949372,0.0,0.0,0.0,37_58,37/58,24.06%,HSPA1A;HSPA1B;RELA;TLR5;PRKD2;LGALS9;DDIT3;TLR2;TLR8;LILRA2;LBP;HYAL2;NOD2;SYK;CD74;TLR9;FFAR2;FADD;IL6;CD2;CD14;RIPK1;CALCA;TLR7;PARK7;PYCARD;NOD1;STAT3;AFAP1L2;TNF;TLR4;PLA2G1B;ZNF580;SERPINE1;MYD88;IL17D;CD58,HSPA1A;HSPA1B;RELA;TLR5;PRKD2;LGALS9;DDIT3;TLR2;TLR8;LILRA2;LBP;HYAL2;NOD2;SYK;CD74;TLR9;FFAR2;FADD;IL6;CD2;CD14;RIPK1;CALCA;TLR7;PARK7;PYCARD;NOD1;STAT3;AFAP1L2;TNF;TLR4;PLA2G1B;ZNF580;SERPINE1;MYD88;IL17D;CD58;IL1B;FCN1;DEFA5;CLEC7A;BCL10;CHI3L1;APOA2;LAMTOR5;CD244;F2R;TLR1;WNT5A;F2RL1;TLR3;ELANE;RAB1A;F3;MAVS;NOS2;HMGB1;TIRAP,"[2, 7, 68, 95, 224, 718, 729, 745, 783, 958, 1099, 1152, 1266, 1267, 1313, 1414, 1966, 2019, 2121, 2509, 2611, 2701, 2750, 2886, 3030, 3056, 3101, 3143, 3475, 3515, 3516, 3744, 3934, 4011, 4132, 4138, 4213, 4629, 5015, 5080, 5747, 6271, 6323, 7104, 7709, 7718, 7751, 8679, 8910, 9196, 9420, 9713, 10946, 11051, 11317, 11576, 14226, 15108]",c5.go__GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION
c5.go,GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,prerank,0.6962423546337115,2.2528737352885293,0.0,0.00026579103860175296,0.001,25_42,25/42,20.07%,RHBDF2;FGR;PLCG1;NLRP6;FURIN;LTA;FCGR2B;HLA-DRB1;FYN;FUT7;C3;GPX1;SYK;FCER1G;TREM2;FCGR1A;SRC;SPN;CD81;BTK;PARK7;HCK;HLA-E;YES1;TNF,RHBDF2;FGR;PLCG1;NLRP6;FURIN;LTA;FCGR2B;HLA-DRB1;FYN;FUT7;C3;GPX1;SYK;FCER1G;TREM2;FCGR1A;SRC;SPN;CD81;BTK;PARK7;HCK;HLA-E;YES1;TNF;GNAS;ZP3;IL20RB;PSMB4;PSMA1;IL12B;LYN;IL10;GPR17;MAPK14;MKRN2;CD28;CCR7;PLK2;NPY;NPY5R;PLA2G2D,"[103, 341, 405, 478, 555, 631, 716, 784, 1046, 1048, 1102, 1260, 1267, 1513, 1622, 1740, 2278, 2541, 2595, 2617, 3030, 3336, 3356, 3392, 3515, 4729, 5249, 6035, 6246, 6584, 6713, 6930, 6941, 7040, 7304, 7811, 9793, 10347, 10655, 12769, 13464, 15355]",c5.go__GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS
c5.go,GOBP_CELLULAR_RESPONSE_TO_CADMIUM_ION,prerank,0.8140625778328845,2.2411482004219874,0.0,0.00033223879825219124,0.002,13_21,13/21,5.53%,MT1F;ABCB6;MT2A;MT1M;MT1G;MT1E;SLC11A1;MT1A;HSF1;MT1X;DAXX;HMOX1;MT3,MT1F;ABCB6;MT2A;MT1M;MT1G;MT1E;SLC11A1;MT1A;HSF1;MT1X;DAXX;HMOX1;MT3;MT1H;SOD1;PPP5C;CYBB;SUMO1;SLC39A8;CER1;HESX1,"[55, 76, 129, 162, 302, 327, 440, 463, 497, 544, 554, 693, 967, 1911, 3398, 5644, 6563, 7337, 8529, 16300, 16551]",c5.go__GOBP_CELLULAR_RESPONSE_TO_CADMIUM_ION
c5.go,GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,prerank,0.6439776322326523,2.269168038782717,0.0,0.00033223879825219124,0.001,36_65,36/65,20.07%,RHBDF2;NPFF;FGR;PLCG1;NLRP6;FURIN;FCGR3B;LTA;FCGR2A;FCGR2B;HLA-DRB1;FYN;FUT7;C3;GPX1;SYK;FCER1G;TREM2;FCGR1A;FCER1A;FOSL2;FCGR3A;KDM6B;SRC;NOTCH2;NOTCH1;GATA3;SPN;CD81;BTK;PARK7;HCK;HLA-E;YES1;TREX1;TNF,RHBDF2;NPFF;FGR;PLCG1;NLRP6;FURIN;FCGR3B;LTA;FCGR2A;FCGR2B;HLA-DRB1;FYN;FUT7;C3;GPX1;SYK;FCER1G;TREM2;FCGR1A;FCER1A;FOSL2;FCGR3A;KDM6B;SRC;NOTCH2;NOTCH1;GATA3;SPN;CD81;BTK;PARK7;HCK;HLA-E;YES1;TREX1;TNF;GNAS;ZP3;CD68;IL20RB;PSMB4;HMGB2;PSMA1;IL12B;LYN;IL10;GPR17;MAPK14;PNMA1;MKRN2;ELANE;CD28;CD6;CCR7;PLK2;CYSLTR1;IL25;RBPJ;EXT1;NPY;NPY5R;IL5RA;HMGB1;PLA2G2D;RASGRP1,"[103, 214, 341, 405, 478, 555, 611, 631, 648, 716, 784, 1046, 1048, 1102, 1260, 1267, 1513, 1622, 1740, 2001, 2063, 2138, 2172, 2278, 2279, 2437, 2530, 2541, 2595, 2617, 3030, 3336, 3356, 3392, 3447, 3515, 4729, 5249, 5305, 6035, 6246, 6576, 6584, 6713, 6930, 6941, 7040, 7304, 7574, 7811, 9713, 9793, 10125, 10347, 10655, 11181, 12112, 12114, 12204, 12769, 13464, 13885, 14226, 15355, 16013]",c5.go__GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS
c5.go,GOBP_MYELOID_LEUKOCYTE_ACTIVATION,prerank,0.5415161006047178,2.245908860272351,0.0,0.00037970148371679,0.002,87_218,87/218,17.54%,JMJD6;S100A12;LCN10;CD177;TNIP2;CSF1;LAT;STXBP2;CLU;CXCL6;MT1G;SBNO2;DNASE1L3;LAT2;FES;GRN;FGR;TGFB1;SLC11A1;NR1H3;IL4R;C1QA;ZC3H12A;FOXF1;CD37;LTBR;IL18;CXCR2;HSPD1;FCGR2B;LGALS9;AGER;VSIG4;PIK3CD;C5AR1;CST7;TYROBP;ITGB2;SPI1;LILRA2;LBP;IFNGR2;HYAL2;TICAM1;DNASE1;SYK;CD300A;CD74;SNAP23;TLR9;BATF;ITGAM;FCER1G;NR1D1;CD33;TREM2;VAMP8;GATA2;BPI;ANXA3;RHOH;FCER1A;PRAM1;CCR2;IL6;PTGDR;FCGR3A;ADORA2B;SRC;NOTCH2;JUND;MIF;CD2;BTK;PTPN6;STARD7;TGFBR2;PTGDS;JUN;KCNJ8;PLA2G3;DOCK2;TRAF3IP2;RAC2;CD93;PYCARD;CBL,JMJD6;S100A12;LCN10;CD177;TNIP2;CSF1;LAT;STXBP2;CLU;CXCL6;MT1G;SBNO2;DNASE1L3;LAT2;FES;GRN;FGR;TGFB1;SLC11A1;NR1H3;IL4R;C1QA;ZC3H12A;FOXF1;CD37;LTBR;IL18;CXCR2;HSPD1;FCGR2B;LGALS9;AGER;VSIG4;PIK3CD;C5AR1;CST7;TYROBP;ITGB2;SPI1;LILRA2;LBP;IFNGR2;HYAL2;TICAM1;DNASE1;SYK;CD300A;CD74;SNAP23;TLR9;BATF;ITGAM;FCER1G;NR1D1;CD33;TREM2;VAMP8;GATA2;BPI;ANXA3;RHOH;FCER1A;PRAM1;CCR2;IL6;PTGDR;FCGR3A;ADORA2B;SRC;NOTCH2;JUND;MIF;CD2;BTK;PTPN6;STARD7;TGFBR2;PTGDS;JUN;KCNJ8;PLA2G3;DOCK2;TRAF3IP2;RAC2;CD93;PYCARD;CBL;CD84;PLSCR1;PLA2G10;LCP2;TREX1;TNF;TLR4;HAVCR2;SPHK1;MFHAS1;WNK4;TLR6;BATF2;IL18RAP;FCAR;CHGA;PTPRC;MILR1;AZU1;MYD88;CALHM2;FPR2;SHPK;SPHK2;CLEC12A;STX4;CTSC;IL15;LDLR;IL1RL1;CEBPA;TMEM106A;FOXP1;IFNGR1;FER;NMI;TTBK1;UNC13D;GPR137B;NDRG1;CNR2;ANXA1;LILRB4;CCL5;PIK3CG;FCER2;AIF1;IFI35;PREX1;LYN;IL10;BCR;HAVCR1;ITGB8;CRTC3;S100A13;RELB;DCSTAMP;CX3CR1;CCL3;STAP1;RORA;CX3CL1;PLCG2;DYSF;IL13;IL4;TLR1;IRF4;ITGB6;JAK2;WNT5A;F2RL1;PLA2G4A;THBS1;TLR3;CPLX2;PRKCD;VAMP3;VAMP2;CD300LF;TSLP;SNX6;NR4A1;LRRK2;FN1;LRFN5;GAB2;STXBP1;SNCA;PDPK1;MAPT;HSPA12A;BATF3;SLC18A2;TMEM229B;TRAF6;RABGEF1;RBPJ;STXBP3;TSPAN32;NAGLU;NPY;GATA1;MYO18A;IL33;NR4A3;ADAM10;PSEN1;PRKCE;ENPP3;GRP;HMGB1;DHRS2;FAM76B;STK39;ADAM9;CD226;IL16;PTPRE;CD200;APP;KIT;PTPN11;RASGRP1;IL13RA2;PJA2;CAMK4;SYT11;SCN11A;SNX4,"[31, 37, 60, 91, 127, 137, 194, 197, 216, 232, 302, 303, 307, 325, 329, 330, 341, 386, 440, 444, 462, 479, 480, 511, 617, 640, 662, 680, 682, 716, 718, 759, 774, 790, 805, 849, 865, 902, 942, 958, 1099, 1147, 1152, 1184, 1235, 1267, 1311, 1313, 1381, 1414, 1480, 1487, 1513, 1578, 1612, 1622, 1711, 1766, 1898, 1938, 1975, 2001, 2024, 2082, 2121, 2128, 2138, 2190, 2278, 2279, 2470, 2475, 2509, 2617, 2686, 2743, 2773, 2819, 2824, 2848, 2857, 2897, 2915, 2938, 2967, 3056, 3071, 3150, 3220, 3358, 3402, 3447, 3515, 3516, 3593, 3596, 3621, 3685, 3775, 3801, 3895, 3926, 3971, 3989, 4059, 4083, 4132, 4141, 4171, 4309, 4366, 4407, 4586, 4687, 4728, 4749, 4810, 5110, 5334, 5437, 5613, 5664, 5763, 6005, 6041, 6143, 6152, 6160, 6173, 6263, 6365, 6453, 6557, 6768, 6879, 6884, 6930, 6941, 7004, 7015, 7057, 7274, 7331, 7492, 7581, 7588, 7600, 7733, 7923, 7950, 7982, 8098, 8159, 8442, 8679, 8729, 8865, 8889, 8910, 9196, 9214, 9307, 9420, 9454, 9580, 9874, 9949, 10166, 10214, 10488, 10627, 10661, 10662, 10740, 10756, 10837, 10959, 10975, 11206, 11283, 11362, 11517, 11686, 11998, 12006, 12114, 12185, 12632, 12695, 12769, 12826, 12980, 13145, 13351, 13386, 13571, 13636, 13935, 14218, 14226, 14369, 14799, 14914, 15012, 15265, 15497, 15544, 15606, 15665, 15737, 16007, 16013, 16321, 16665, 16852, 17137, 17254, 17319]",c5.go__GOBP_MYELOID_LEUKOCYTE_ACTIVATION
c5.go,GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,prerank,0.5467117243289603,2.247641330961688,0.0,0.0004429850643362549,0.002,97_202,97/202,21.55%,MMP9;RELA;TLR5;CASP7;TNIP2;NFKBIA;ARID5A;CXCL6;CAPN2;MAP2K3;PPBP;SBNO2;CEBPB;SLC7A5;IRF3;NOS3;NR1H3;ZC3H12A;HSF1;SASH1;AKAP8;CD180;CASP1;IL18;TRIM5;FCGR2B;TNFRSF1B;TLR2;TSPO;GIT1;LILRB1;PABPN1;SPI1;LILRA2;IRAK2;IRF5;XBP1;LBP;MAPK3;LY96;IRF8;TICAM1;NOD2;IRAK3;TLR9;CD274;CD86;NR1D1;TNIP1;TREM2;AXL;CSF3;CD40;GSTP1;CCL2;LCN2;BPI;CXCL9;SIGIRR;IL6;TBXA2R;TNFAIP3;PTAFR;CACTIN;NFKBIZ;IRAK1;LY86;SCARB1;VIM;MIF;BMP6;UPF1;CD14;ABCA1;PTPN6;NFKB1;NFKBIB;OPRK1;PYCARD;CD80;MAP2K7;SIRPA;ABCB1;CARD16;AKT1;LILRB2;HCK;KLRK1;PLSCR4;TNF;TLR4;HAVCR2;CXCL10;PPARD;CARD8;ZFP36;TLR6,MMP9;RELA;TLR5;CASP7;TNIP2;NFKBIA;ARID5A;CXCL6;CAPN2;MAP2K3;PPBP;SBNO2;CEBPB;SLC7A5;IRF3;NOS3;NR1H3;ZC3H12A;HSF1;SASH1;AKAP8;CD180;CASP1;IL18;TRIM5;FCGR2B;TNFRSF1B;TLR2;TSPO;GIT1;LILRB1;PABPN1;SPI1;LILRA2;IRAK2;IRF5;XBP1;LBP;MAPK3;LY96;IRF8;TICAM1;NOD2;IRAK3;TLR9;CD274;CD86;NR1D1;TNIP1;TREM2;AXL;CSF3;CD40;GSTP1;CCL2;LCN2;BPI;CXCL9;SIGIRR;IL6;TBXA2R;TNFAIP3;PTAFR;CACTIN;NFKBIZ;IRAK1;LY86;SCARB1;VIM;MIF;BMP6;UPF1;CD14;ABCA1;PTPN6;NFKB1;NFKBIB;OPRK1;PYCARD;CD80;MAP2K7;SIRPA;ABCB1;CARD16;AKT1;LILRB2;HCK;KLRK1;PLSCR4;TNF;TLR4;HAVCR2;CXCL10;PPARD;CARD8;ZFP36;TLR6;CXCL5;FCAR;SERPINE1;RIPK2;MYD88;GBP3;CCR5;PAF1;SHPK;EFNB2;NFKBIL1;DEFB124;IL1B;HDAC5;ADAMTS13;RARA;DEFA5;ASS1;CD68;CXCL13;GBP2;FZD5;EDNRB;TRIM41;GBP5;MRC1;NR1I2;PLSCR3;BCL10;LTF;HMGB2;ABL1;IL12B;LDOC1;DAB2IP;PRDX2;CEBPE;LYN;IL10;BCR;GFI1;HADHB;MALT1;CTR9;MAPK14;CD55;CX3CR1;PDCD1LG2;STAP1;TLR10;RHOA;CDK4;NUGGC;CX3CL1;PLCG2;PRPF8;PF4;IRAK4;B2M;TNFSF4;TLR1;JAK2;WNT5A;IL24;CCL28;AHR;NLRP3;CD6;TRIB1;CDC73;PRKCA;IL36G;SCIMP;PTPN22;NOS2;PDCD4;ANKRD1;TRAF6;IL1A;MEF2C;TICAM2;MAPK1;GATA1;CDK19;LITAF;KMO;PRKCE;SPON2;EPHB2;HMGB1;CMPK2;TNIP3;ADAM9;TIRAP;PDE4B;MTDH;NR1H4;CD200;PTPN11;CHMP5;MAPK8;PPM1E;PLAA;MMP3;CD36,"[27, 68, 95, 112, 127, 132, 192, 232, 285, 292, 294, 303, 311, 312, 315, 335, 444, 480, 497, 540, 588, 621, 645, 662, 685, 716, 720, 745, 780, 808, 820, 844, 942, 958, 990, 1040, 1084, 1099, 1114, 1117, 1129, 1184, 1266, 1369, 1414, 1524, 1574, 1578, 1584, 1622, 1739, 1776, 1795, 1811, 1826, 1836, 1898, 2028, 2114, 2121, 2131, 2189, 2202, 2205, 2368, 2376, 2387, 2430, 2436, 2475, 2547, 2591, 2611, 2620, 2686, 2835, 2943, 3014, 3056, 3114, 3121, 3184, 3190, 3238, 3267, 3308, 3336, 3412, 3423, 3515, 3516, 3593, 3676, 3681, 3717, 3755, 3775, 3891, 3926, 4011, 4056, 4132, 4222, 4246, 4247, 4309, 4454, 4525, 4558, 4629, 4646, 4936, 5072, 5080, 5245, 5305, 5314, 5440, 5568, 5580, 5646, 5789, 5858, 6022, 6065, 6271, 6558, 6576, 6593, 6713, 6748, 6790, 6845, 6917, 6930, 6941, 7004, 7032, 7160, 7227, 7281, 7304, 7474, 7588, 7607, 7733, 7816, 7817, 7822, 7880, 7950, 7982, 7992, 8058, 8568, 8604, 8620, 8679, 8889, 8910, 9230, 9263, 9293, 9658, 10125, 10208, 10314, 10873, 11347, 11474, 11540, 11576, 11845, 11940, 11998, 12614, 12683, 12768, 12772, 12826, 13021, 13134, 13213, 13636, 13655, 14005, 14226, 14328, 14330, 15012, 15108, 15138, 15416, 15445, 15606, 16007, 16055, 16304, 17232, 17365, 17427, 17434]",c5.go__GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN
c5.go,GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,prerank,0.723342870485644,2.175651878593648,0.0,0.0005111366126956788,0.003,13_28,13/28,14.51%,RHBDF2;FGR;PLCG1;NLRP6;FURIN;FCGR2B;HLA-DRB1;FYN;GPX1;SYK;TREM2;SRC;SPN,RHBDF2;FGR;PLCG1;NLRP6;FURIN;FCGR2B;HLA-DRB1;FYN;GPX1;SYK;TREM2;SRC;SPN;HCK;YES1;GNAS;IL20RB;PSMB4;PSMA1;IL12B;LYN;IL10;GPR17;MAPK14;MKRN2;PLK2;NPY;NPY5R,"[103, 341, 405, 478, 555, 716, 784, 1046, 1260, 1267, 1622, 2278, 2541, 3336, 3392, 4729, 6035, 6246, 6584, 6713, 6930, 6941, 7040, 7304, 7811, 10655, 12769, 13464]",c5.go__GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS
c5.go,GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS,prerank,0.5238205347811836,2.1670544436056516,0.0,0.000531582077203506,0.004,99_227,99/227,19.55%,MMP9;RELA;TLR5;CASP7;TNIP2;NFKBIA;ARID5A;CXCL6;CAPN2;MAP2K3;PPBP;SBNO2;CEBPB;SLC7A5;IRF3;NOS3;NR1H3;ZC3H12A;HSF1;SASH1;AKAP8;CD180;CASP1;IL18;TRIM5;FCGR2B;TNFRSF1B;DDIT3;TLR2;TSPO;GIT1;CDA;LILRB1;PABPN1;SPI1;LILRA2;IRAK2;WFS1;IRF5;XBP1;LBP;MAPK3;LY96;IRF8;TICAM1;NOD2;SYK;IRAK3;TLR9;CD274;CD86;NR1D1;TNIP1;TREM2;RBM14;AXL;HSPA5;CSF3;CD40;GSTP1;CCL2;LCN2;BPI;CXCL9;SIGIRR;IL6;TBXA2R;TNFAIP3;PTAFR;CACTIN;NOTCH2;NFKBIZ;IRAK1;LY86;SCARB1;VIM;NOTCH1;MIF;BMP6;UPF1;CD14;BTK;ABCA1;PTPN6;NFKB1;ZMPSTE24;NFKBIB;OPRK1;PYCARD;CD80;MAP2K7;SIRPA;ABCB1;CARD16;AKT1;LILRB2;HCK;KLRK1;PLSCR4,MMP9;RELA;TLR5;CASP7;TNIP2;NFKBIA;ARID5A;CXCL6;CAPN2;MAP2K3;PPBP;SBNO2;CEBPB;SLC7A5;IRF3;NOS3;NR1H3;ZC3H12A;HSF1;SASH1;AKAP8;CD180;CASP1;IL18;TRIM5;FCGR2B;TNFRSF1B;DDIT3;TLR2;TSPO;GIT1;CDA;LILRB1;PABPN1;SPI1;LILRA2;IRAK2;WFS1;IRF5;XBP1;LBP;MAPK3;LY96;IRF8;TICAM1;NOD2;SYK;IRAK3;TLR9;CD274;CD86;NR1D1;TNIP1;TREM2;RBM14;AXL;HSPA5;CSF3;CD40;GSTP1;CCL2;LCN2;BPI;CXCL9;SIGIRR;IL6;TBXA2R;TNFAIP3;PTAFR;CACTIN;NOTCH2;NFKBIZ;IRAK1;LY86;SCARB1;VIM;NOTCH1;MIF;BMP6;UPF1;CD14;BTK;ABCA1;PTPN6;NFKB1;ZMPSTE24;NFKBIB;OPRK1;PYCARD;CD80;MAP2K7;SIRPA;ABCB1;CARD16;AKT1;LILRB2;HCK;KLRK1;PLSCR4;TNF;TLR4;HAVCR2;CXCL10;PPARD;CARD8;ZFP36;TLR6;CXCL5;FCAR;PPP1R15B;SERPINE1;RIPK2;MYD88;GBP3;CCR5;PAF1;SHPK;EFNB2;NFKBIL1;DEFB124;IL1B;HDAC5;ADAMTS13;RARA;DEFA5;ASS1;CD68;CXCL13;GBP2;FZD5;EDNRB;MUS81;TRIM41;CLEC7A;GBP5;MRC1;NR1I2;PLSCR3;BCL10;TXNIP;LTF;HMGB2;ABL1;IL12B;LDOC1;DAB2IP;PRDX2;CEBPE;LYN;IL10;BCR;GFI1;HADHB;MALT1;CTR9;MAPK14;CD55;CX3CR1;PDCD1LG2;STAP1;TLR10;RHOA;CDK4;NUGGC;CX3CL1;PLCG2;PRPF8;PF4;IRAK4;B2M;TNFSF4;TLR1;TP53;JAK2;WNT5A;IL24;CCL28;AHR;NLRP3;CD6;TRIB1;CDC73;PRKCA;SMC1A;IL36G;SCIMP;PTPN22;NOS2;TMCO1;PDCD4;ANKRD1;TRAF6;IL1A;MEF2C;TICAM2;MAPK1;GATA1;CCDC47;CDK19;LITAF;KMO;PRKCE;SPON2;APAF1;EPHB2;HMGB1;CMPK2;TNIP3;EIF2AK3;ATG10;SLX4;ADAM9;TIRAP;PDE4B;MTDH;NR1H4;CD200;GSK3B;EME1;PTPN11;CHMP5;MAPK8;IGFBPL1;PPM1E;PLAA;MMP3;CD36,"[27, 68, 95, 112, 127, 132, 192, 232, 285, 292, 294, 303, 311, 312, 315, 335, 444, 480, 497, 540, 588, 621, 645, 662, 685, 716, 720, 729, 745, 780, 808, 815, 820, 844, 942, 958, 990, 994, 1040, 1084, 1099, 1114, 1117, 1129, 1184, 1266, 1267, 1369, 1414, 1524, 1574, 1578, 1584, 1622, 1738, 1739, 1765, 1776, 1795, 1811, 1826, 1836, 1898, 2028, 2114, 2121, 2131, 2189, 2202, 2205, 2279, 2368, 2376, 2387, 2430, 2436, 2437, 2475, 2547, 2591, 2611, 2617, 2620, 2686, 2835, 2844, 2943, 3014, 3056, 3114, 3121, 3184, 3190, 3238, 3267, 3308, 3336, 3412, 3423, 3515, 3516, 3593, 3676, 3681, 3717, 3755, 3775, 3891, 3926, 3953, 4011, 4056, 4132, 4222, 4246, 4247, 4309, 4454, 4525, 4558, 4629, 4646, 4936, 5072, 5080, 5245, 5305, 5314, 5440, 5568, 5580, 5637, 5646, 5747, 5789, 5858, 6022, 6065, 6271, 6506, 6558, 6576, 6593, 6713, 6748, 6790, 6845, 6917, 6930, 6941, 7004, 7032, 7160, 7227, 7281, 7304, 7474, 7588, 7607, 7733, 7816, 7817, 7822, 7880, 7950, 7982, 7992, 8058, 8568, 8604, 8620, 8679, 8693, 8889, 8910, 9230, 9263, 9293, 9658, 10125, 10208, 10314, 10873, 11281, 11347, 11474, 11540, 11576, 11610, 11845, 11940, 11998, 12614, 12683, 12768, 12772, 12826, 12918, 13021, 13134, 13213, 13636, 13655, 13773, 14005, 14226, 14328, 14330, 14600, 14943, 14989, 15012, 15108, 15138, 15416, 15445, 15606, 15613, 15847, 16007, 16055, 16304, 17050, 17232, 17365, 17427, 17434]",c5.go__GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS
