feature_name,rank
HSPA6,1.83192922287666
G0S2,1.5064021507817
HSPA1A,1.49256859772066
KCNE4,1.30939978643818
HSPB1,1.29648967682692
SERPINH1,1.29163397593724
NANOS2,1.28619772425913
HSPA1B,1.2855573570429
DNAJB1,1.21136660776482
MMP9,1.15891606460426
NPC1L1,1.13981446838516
S100A12,1.09509711153195
C5orf48,1.07665563228795
C7orf61,1.0677493052952
MIA,1.06454688036435
BAG3,1.0294697537236
FAM65C,1.01047895139494
DDIT4,1.00869749974363
CD177,0.983852614176635
MLPH,0.982345336224758
FXYD2,0.979848750153503
FAM167B,0.979499157072176
SLC1A7,0.976435479012407
SCT,0.974796515007505
LCN10,0.968420821779052
MAFF,0.957856463008814
TNFRSF10D,0.950804750578391
RP11-514O12.4,0.942972805446203
SLC7A9,0.939487767774513
GPR4,0.935270927945179
ETV4,0.931020427706185
C9orf152,0.927157786692146
SLCO4A1,0.926723126188654
IL1R2,0.922839813826039
HSPB9,0.908814063457131
KLK1,0.906874578053989
MLKL,0.902694129968841
OTOS,0.899498510213742
IFNA2,0.884838736762718
OR7A5,0.88364009459872
TCAP,0.879489517899712
WISP1,0.877987992536702
SLPI,0.869269228351419
CTA-299D3.8,0.862769571360095
MMP23B,0.857803948951527
SPINK8,0.850032760189594
CXCL6,0.847485072549916
ADAM33,0.840856961945206
AL138781.1,0.840422629211091
CELSR1,0.835639541652726
CXCR4,0.834326301410805
IHH,0.833473078953165
UPK1A,0.830946365586306
SMTN,0.827463791523121
NUPR1,0.824887210189959
UCN2,0.82382884471405
HIF3A,0.823152451033964
MT1F,0.820785215054607
C22orf34,0.820609662758658
PLEKHG4B,0.819286078087821
TNFSF14,0.817204276399964
LBX2,0.816852845936095
SPR,0.813681365294899
SIX1,0.811261771382934
LSMEM1,0.809419224093042
PPBP,0.808238483730787
EPHA2,0.807054148659458
CCL17,0.796694188795609
KLC3,0.792113801096152
GAGE10,0.78936628437954
C10orf85,0.789219189594512
MEF2B,0.788822058208619
OR7C1,0.786777729693808
IGJ,0.785266814204137
DNASE1L3,0.784668000481955
MZB1,0.784412861596976
RRAD,0.783256596279869
EPPIN,0.782209936816838
OIT3,0.77708929484548
C20orf195,0.776797747630076
MRPS6,0.774383999993004
ITGA10,0.773579967509733
SLC22A2,0.771825581091784
TFAP2C,0.770710491585635
LCN6,0.767266514094136
HP,0.767250374856034
C11orf94,0.766622740478369
S100A7,0.766574978142739
C19orf33,0.756108279038467
RAX2,0.7546157246493
TMEM92,0.752889687386344
PLEKHN1,0.750550374056376
CCDC102A,0.750459595673295
SYTL4,0.749694987592716
NUP210L,0.74645531785927
SLC6A12,0.745493909895146
EVC2,0.743712755890088
SLC16A12,0.74192066114259
HSD11B2,0.739472808763213
RCC1,0.739339474342931
AZGP1,0.738899818543902
PLA1A,0.734754975786987
ANGPT2,0.73460730062299
SIX2,0.734109531917575
MAP1LC3C,0.734097640085998
KLK14,0.733521351997399
FITM1,0.732349074015153
NLRP6,0.732083339550682
PLIN4,0.731309503133548
IFITM5,0.730894565611313
AC135048.1,0.728339750266277
FOXJ1,0.728033398610877
ANPEP,0.723972123559462
MRC1L1,0.721211989237871
TCF15,0.720104636752536
RHBDF2,0.719448198272621
AKR1C2,0.717792223546152
VNN2,0.715775379821929
REP15,0.715498153915238
SEMA3F,0.714857191483788
SIGLEC8,0.713785069796728
SERPINF2,0.713347952990728
CLDN7,0.711235886700824
RP11-676J12.7,0.710867798574321
HIC1,0.710720432220283
CSAG1,0.709092326281975
MT1M,0.70898318588908
NFKB2,0.708688704120924
SLC25A48,0.708485579966034
HIGD1B,0.707769306489129
HRH4,0.704711205898514
PEAR1,0.703460476870969
SLC11A1,0.702709729004477
C1orf143,0.702473764111309
TBX15,0.701186537517402
FKSG61,0.700574766620992
P4HA2,0.700144235548697
MS4A6A,0.698587516816034
MT1A,0.698122069590036
PCK1,0.697907343364748
RPS17L,0.69745989320072
NPIPL1,0.697451414550701
CXCR1,0.697177149086994
AC145676.2,0.695327782193632
FCGR3B,0.694156397726612
MT2A,0.693928889925776
SHISA3,0.6937043670557
CARD9,0.69353870544077
KLHL6,0.693188706294153
AL035588.1,0.692000231075553
FKSG48,0.691887685969826
GPR97,0.691137585927986
LAT,0.691056938952137
GAREML,0.689315316163659
TRIP10,0.689276821599264
SLC5A3,0.688967268957687
STC1,0.688761174738798
S100A8,0.688201879653074
SOCS3,0.688165353801805
ADM,0.684129794500147
TLR5,0.683697820420212
BNIPL,0.682433270915854
ANKRD22,0.68094311835813
MRAP,0.680929130069078
SERPINA5,0.680181877264063
MT1G,0.677423793504083
KRT18,0.676989194894181
PARVG,0.67673109935308
GPER,0.676169835371241
CXCR2,0.67484496672736
DDIT4L,0.674574794640364
MKNK2,0.671829582297714
OR2H2,0.668101888510764
CNTD2,0.666948071209786
MNX1,0.66686973202272
ISYNA1,0.666774156709114
JMJD6,0.664424009519041
MICB,0.664276061897821
SERPINC1,0.66379492533828
